"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"도미니카연방",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,-,-,-,-,-,-,-,-,-,-,-,-,-,569,597,611,625,-,-,-,-,-,-,-,-
"도미니카공화국",-,-,-,-,-,-,-,-,-,-,-,509,578,591,606,603,608,607,608,617,597,604,603,628,647,528,536,595,558,539,563,556,604,574,647,667,684,750,780,799,845,808,845,788,703,754,771,774,767,743,770,774,807,752,743,-
"에콰도르",-,-,-,-,-,-,-,-,-,-,-,352,355,350,412,442,478,558,559,575,614,622,653,590,616,607,589,589,601,562,606,623,617,564,592,681,704,718,725,641,698,728,698,697,661,678,670,745,674,790,785,818,795,843,889,-
"엘살바도르",-,-,-,-,-,-,-,-,-,-,-,472,493,509,508,554,626,633,656,627,559,598,611,576,577,538,459,502,459,462,460,497,510,530,555,584,554,608,621,640,666,693,704,733,726,747,785,741,741,692,695,699,686,645,655,-
"그레나다",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,429,-,-,-,-,-,-,-,-,-,-,-,-,-,676,717,730,725,-,-,-,-,-,-,-,-
"과테말라",-,-,-,-,-,-,-,-,-,-,-,489,493,503,505,543,568,589,590,611,550,522,499,469,482,478,447,459,464,469,487,488,501,487,501,517,519,530,563,604,607,606,597,607,612,602,600,632,594,669,715,751,749,801,864,-
"가이아나",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,511,-,-,-,-,-,-,-,-,-,-,-,-,-,630,652,659,661,-,-,-,-,-,-,-,-
"아이티",-,-,-,-,-,-,-,-,-,-,-,316,319,322,329,335,348,352,359,366,369,301,306,308,305,301,230,232,235,235,225,221,225,213,192,222,250,259,254,253,240,241,267,252,255,374,378,390,389,388,386,395,403,399,399,-
"온두라스",-,-,-,-,-,-,-,-,-,-,-,484,481,484,478,477,480,493,490,491,495,477,501,477,474,456,455,466,475,481,471,462,468,465,470,486,474,504,527,451,449,472,478,507,533,543,516,592,574,538,540,587,583,580,587,-
"자메이카",-,-,-,-,-,-,-,-,-,-,-,1066,1339,1499,1383,1339,1198,1156,1187,1213,1067,1072,1041,896,886,752,757,770,779,969,1164,1159,1208,1200,1211,1276,1332,1321,1361,1389,1460,1457,1352,1402,1411,1387,1547,1549,1299,1109,978,1039,1004,1038,1009,-
"니카라과",-,-,-,-,-,-,-,-,-,-,-,482,478,503,511,515,536,573,537,441,465,464,462,469,503,513,501,495,457,479,478,495,499,480,475,478,478,492,487,486,491,489,500,506,523,525,513,514,512,508,505,515,545,575,590,-
"파나마",-,-,-,-,-,-,-,-,-,-,-,1062,1163,1236,1183,975,942,907,868,907,722,753,806,840,752,710,705,738,672,620,609,646,721,717,739,735,770,785,892,862,856,951,848,833,806,882,924,888,874,947,996,1062,1077,1039,1083,-
"파라과이",-,-,-,-,-,-,-,-,-,-,-,555,557,588,569,543,563,597,650,643,677,658,653,650,643,639,647,726,755,801,757,761,739,748,798,853,853,907,876,819,752,752,735,741,739,723,737,756,785,787,833,834,844,823,848,-
"페루",-,-,-,-,-,-,-,-,-,-,-,656,639,648,668,671,664,672,636,618,644,632,628,563,563,536,533,535,515,464,440,423,403,422,428,449,454,431,446,467,459,437,434,421,462,485,467,501,522,543,639,645,687,678,783,-
"세인트키츠네비스",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,532,-,-,-,-,-,-,-,-,-,-,-,-,-,1632,1691,1685,1765,-,-,-,-,-,-,-,-
"세인트루시아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,393,-,-,-,-,-,-,-,-,-,-,-,-,-,731,744,715,764,-,-,-,-,-,-,-,-
"세인트빈센트그레나딘",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,-,-,-,-,-,-,-,-,-,-,-,-,-,586,598,628,632,-,-,-,-,-,-,-,-
"수리남",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1317,1386,952,999,1080,1224,1151,1077,1124,1116,1314,1265,1397,1227,1211,-
"트리니다드토바고",-,-,-,-,-,-,-,-,-,-,-,2637,2652,2570,2571,2202,2414,2700,3199,3267,3394,3557,3533,3618,4041,4243,4375,4066,4413,4245,4727,4663,5089,4838,4839,4702,5537,5201,6019,7004,7386,8209,8883,9879,10312,11772,13059,13811,13332,13397,14229,13904,13456,13604,13489,-
"우루과이",-,-,-,-,-,-,-,-,-,-,-,861,873,841,824,851,858,853,869,923,895,859,760,700,669,661,678,716,763,778,722,779,855,794,754,802,879,888,909,987,939,821,768,762,866,891,958,951,1245,1235,1219,1314,1376,1361,1390,-
"베네수엘라",-,-,-,-,-,-,-,-,-,-,-,1525,1432,1535,1762,1748,1761,1831,1920,1933,2148,2239,2171,2278,2164,2088,2129,2076,1955,1958,2004,2044,2234,2034,2307,2119,2212,2157,2227,2082,2099,2133,2273,2054,2151,2111,2314,2108,2323,2295,2521,2310,2479,2305,-,-
"유럽",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"알바니아",-,-,-,-,-,-,-,-,-,-,-,785,866,763,777,827,891,924,1011,864,1150,989,967,1000,1018,917,964,922,928,896,813,573,418,412,441,417,448,385,427,576,580,597,660,648,715,720,707,680,711,732,729,765,688,801,808,-
