"국가별",2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"국가별",전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타
"말레이시아",138331,127604,10586,-,-,141,-,147461,133846,13388,-,-,227,-,150123,135926,13924,-,-,273,-,156665,136336,20019,-,-,310,-,164509,137599,26580,-,-,330,-,170578,143621,26325,-,-,632,-,178440,150783,26167,-,-,1490,-,174224,144794,27295,-,-,2136,-,180070,146849,31101,-,-,2120,-,-,-,-,-,-,-,-
"몽골",5143,5020,61,-,54,8,-,5578,5376,68,-,126,8,-,5513,5290,61,-,154,8,-,5667,5413,87,-,159,8,-,6027,5759,86,-,155,27,-,6535,6055,81,-,340,59,-,6900,6416,85,-,340,59,-,6970,6486,85,-,340,59,-,7825,7061,138,-,568,59,-,-,-,-,-,-,-,-
"미얀마",14735,3425,11310,-,-,-,-,15626,5328,10298,-,-,-,-,17212,6573,10639,-,-,-,-,20248,8123,12125,-,-,-,-,20055,8864,11191,-,-,-,-,22883,11641,11228,-,-,14,-,23778,14328,9369,-,-,81,-,23643,15194,8370,-,-,79,-,22075,12350,9590,-,-,135,-,21539,12275,9070,-,-,194,-
"네팔",3130,10,3120,-,-,-,-,3508,10,3498,-,-,-,-,3459,-,3434,-,6,19,-,4177,-,4152,-,6,19,-,4566,0,4488,-,0,78,-,4829,0,4754,-,0,75,-,6134,0,6061,-,0,73,-,6189,0,6092,-,1,96,-,9668,0,9534,-,1,133,-,-,-,-,-,-,-,-
"오만",26241,26240,-,-,-,1,-,29129,29128,-,-,-,1,-,32762,32758,-,-,-,4,-,34232,34228,-,-,-,4,-,36130,36114,-,-,-,16,-,37718,37702,-,-,-,16,-,38337,38320,-,-,-,17,-,38173,38045,-,-,-,128,-,41122,40992,-,-,-,130,-,41833,41698,-,-,-,135,-
"파키스탄",100048,65067,30397,4553,6,-,25,108150,70485,32210,5090,265,-,100,109896,70557,32867,5804,461,207,-,123533,82458,32132,6867,1422,654,-,134982,94566,27729,9849,2124,714,-,136461,90588,32789,9134,3234,716,-,134818,82533,38802,9861,2914,708,-,144049,90212,38936,11090,2900,911,-,144435,86550,35069,17045,4800,971,-,-,-,-,-,-,-,-
"팔레스타인",536,534,-,-,-,2,-,340,337,-,-,-,3,-,515,506,-,-,-,9,-,537,495,-,-,-,43,-,546,501,-,-,-,45,-,420,360,-,-,-,60,-,811,691,-,-,-,120,-,840,662,-,-,-,178,-,917,693,-,-,-,224,-,945,714,-,-,-,231,-
"필리핀",75519,55811,10036,-,66,1,9605,77476,57845,9154,-,152,17,10308,82905,62292,8682,-,748,139,11044,91789,70519,8128,-,975,1097,11070,95747,73554,9628,-,1094,1201,10270,101223,78985,9401,-,1153,1249,10435,107517,86496,8043,-,1042,1246,10691,103215,82851,7209,-,1026,1373,10757,107574,84952,9202,-,1270,1470,10681,111517,88155,10085,-,1030,1822,10425
"카타르",34668,34668,-,-,-,-,-,38692,38692,-,-,-,-,-,41499,41499,-,-,-,-,-,42307,42307,-,-,-,-,-,45555,45555,-,-,-,-,-,47913,47913,-,-,-,-,-,49873,49873,-,-,-,-,-,49259,49259,-,-,-,-,-,51641,51641,-,-,-,-,-,-,-,-,-,-,-,-
"사우디아라비아",284051,284009,-,-,-,42,-,311849,311803,-,-,-,46,-,338376,338330,-,-,-,46,-,345149,345103,-,-,-,46,-,379443,379373,-,-,5,65,-,359257,359038,-,-,5,214,-,367816,367341,-,-,6,469,-,367498,366563,-,-,6,929,-,379045,377682,-,-,409,954,-,-,-,-,-,-,-,-
"싱가포르",47980,47963,-,-,-,17,-,49348,49310,-,-,-,38,-,50341,50272,-,-,-,69,-,51733,51587,-,-,-,146,-,52401,52226,-,-,-,175,-,53142,52905,-,-,-,237,-,54552,54142,-,-,-,410,-,53582,53080,-,-,-,502,-,56524,55789,-,-,-,735,-,58349,57113,-,-,-,1236,-
"스리랑카",12060,4870,6929,-,236,25,-,12862,7986,4563,-,275,39,-,13227,6854,5969,-,344,60,-,14363,9721,4221,-,347,75,-,15004,10381,4039,-,367,217,-,15985,9072,6401,-,326,186,-,16630,11102,4812,-,350,366,-,15801,10260,4976,-,344,221,-,16716,8306,7208,-,645,557,-,14380,7639,6741,-,-,-,-
"시리아",25139,22139,3000,-,-,-,-,21223,18883,2340,-,-,-,-,17982,17569,413,-,-,-,-,18136,17207,929,-,-,-,-,18413,17659,754,-,-,-,-,18164,17410,754,-,-,-,-,17568,16814,754,-,-,-,-,16365,15611,754,-,-,-,-,16916,16162,754,-,-,-,-,-,-,-,-,-,-,-
"타지키스탄",17115,44,17071,-,-,-,-,16472,160,16312,-,-,-,-,17162,302,16860,-,-,-,-,17232,608,16624,-,-,-,-,18144,1011,17133,-,-,-,-,19743,1348,18395,-,-,-,-,20676,1507,19169,-,-,-,-,19734,1620,18114,-,-,-,-,20624,1657,18967,-,-,-,-,21399,1475,19924,-,-,-,-
"태국",170113,163117,5610,-,305,1080,1,172208,165194,5323,-,305,1385,1,177227,170641,3878,-,329,2378,1,188265,180891,3651,-,345,3377,1,181940,171453,4833,-,1110,4543,2,182288,168326,7783,-,1641,4537,1,190681,175418,6446,-,3670,5146,1,188870,176452,4656,-,3124,4636,1,186889,174097,4687,-,3462,4641,1,198618,183770,6834,-,2988,5026,-
"튀르키예",240154,171535,59420,-,7557,-,1642,251963,200079,40645,-,8520,17,2702,261783,178871,67146,-,11652,194,3920,274408,185085,67231,-,15517,1043,5532,297278,211290,58218,-,17904,2889,6976,304802,208733,59938,-,19949,7800,8381,303898,174041,88823,-,21731,9250,10053,306703,181526,78094,-,24828,10950,11304,334723,221312,55927,-,31437,13943,12105,-,-,-,-,-,-,-
"투르크메니스탄",18870,18867,3,-,-,-,-,20400,20397,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22531,3,-,-,-,-,22534,22528,6,-,-,-,-,-,-,-,-,-,-,-
"아랍에미리트",109995,109920,-,-,-,75,-,116545,116254,-,-,-,291,-,127383,127092,-,-,-,292,-,129613,129304,-,-,-,309,-,134569,133835,-,-,-,734,-,136014,134711,-,-,-,1303,-,138454,134674,-,-,-,3780,-,137310,131835,-,-,-,5475,-,149053,143301,-,-,-,5752,-,-,-,-,-,-,-,-
"우즈베키스탄",54619,48914,5704,-,-,-,-,55766,49691,6075,-,-,-,-,57414,50589,6825,-,-,0,-,58634,51773,6860,-,-,0,-,60323,52393,7930,-,-,1,-,62408,56510,5897,-,-,0,-,63021,56544,6462,-,16,0,-,66516,61502,4999,-,16,0,-,71414,66391,4972,-,1,49,-,-,-,-,-,-,-,-
"베트남",126798,68536,58170,-,92,-,-,140219,78439,61480,-,300,-,-,163494,105979,57254,-,261,-,-,181653,116244,65188,-,221,-,-,198499,109354,88875,-,270,-,-,213199,128576,84205,-,312,106,-,232602,142200,85097,-,312,4993,-,240543,156672,73461,-,976,9434,-,253498,143728,78633,-,3346,27791,-,-,-,-,-,-,-,-
"예멘",8505,8501,-,-,-,4,-,7655,7646,-,-,-,9,-,5762,5646,-,-,-,116,-,4798,4643,-,-,-,155,-,4050,3856,-,-,-,194,-,3487,3003,-,-,-,484,-,3277,2792,-,-,-,484,-,2939,2449,-,-,-,490,-,2915,2425,-,-,-,490,-,-,-,-,-,-,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",657645,140273,391861,103439,18092,1499,2481,658705,141916,382574,107280,22538,2120,2277,657949,143861,382266,101809,26964,2895,154,666045,143952,385505,101429,30930,4030,199,663262,131690,394659,101299,31511,3892,211,659061,134555,385967,100731,33468,4107,233,652776,132277,381843,101197,32873,4415,171,651458,125783,386617,98195,35761,4790,312,642974,126266,382867,92629,34753,6043,416,-,-,-,-,-,-,-
"멕시코",297326,247163,28002,11800,4185,106,6070,301496,240279,38893,9677,6426,221,6000,310712,253005,30815,11577,8745,239,6331,320565,262310,30698,10567,10378,464,6148,323124,261726,31981,10883,10442,1084,7008,357592,279724,32526,13675,12877,1363,17427,344839,267416,23716,11190,16880,7057,18580,317680,245464,26817,11262,19702,9115,5320,379696,294525,32869,11923,20896,13010,6473,-,-,-,-,-,-,-
