"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"① 재생에너지",폐기물 (MWh),산업폐기물,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34005,22998,11797,15223,29122,47,3208,4969,4263,1045,10263,3221
"① 재생에너지",폐기물 (MWh),생활폐기물,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56708,100697,181142,234469,694377,406578,371828,381641,307864,187677,222835,173702
"① 재생에너지",폐기물 (MWh),생활폐기물,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48298,57725,92857,102300,397335,128816,125992,115601,102506,91181,128370,116984
"① 재생에너지",폐기물 (MWh),생활폐기물,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8410,42972,88285,132169,297042,277762,245836,266040,205358,96496,94465,56718
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238871,439281,238807,185230,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197470,124165,85740,61059,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),대형도시쓰레기,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41401,315116,153067,124171,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),RDF/RPF/TDF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6844,18111,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),RDF/RPF/TDF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6844,18111,-,-,-,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),SRF,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111575,171900,312740,411991,455951,392976,159639,139211,97427
"① 재생에너지",폐기물 (MWh),SRF,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,111575,171900,312740,404199,441504,383403,155654,133286,93665
"① 재생에너지",폐기물 (MWh),SRF,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7792,14447,9573,3984,5924,3762
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77000,155957,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),시멘트킬른보조연료,자가용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77000,155957,-,-,-,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19524,32016,30684,47871,16404,-,-,-
"① 재생에너지",폐기물 (MWh),정제연료유,사업용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19524,32016,30684,47871,16404,-,-,-
"② 신에너지",연료전지 (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,2103,6681,8522,20310,89270,196960,294625,389672,578586,943064,1089289,1143191,1468919,1775115,2306654,3544354,4798120,5409625
"② 신에너지",연료전지 (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,311,1960,13432,81759,188072,282463,374347,560890,922817,1071418,1124544,1447768,1741801,2257401,3485608,4727370,5329684
"② 신에너지",연료전지 (MWh),자가용,소계,-,-,-,-,-,-,-,-,-,-,2103,6370,6562,6878,7511,8888,12162,15325,17696,20247,17871,18647,21151,33314,49254,58746,70750,79942
"② 신에너지",IGCC (MWh),소계,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6089,360681,1285733,1702006,1031272,2377374,2190755,1964827
"② 신에너지",IGCC (MWh),사업용,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6089,360681,1285733,1702006,1031272,2377374,2190755,1964827
